11,"Agriculture, Food, Textiles"
12,"Coating"
13,"Gas"
14,"Organic Compounds"
15,"Resins"
19,"Miscellaneous-Chemical"
21,"Communications"
22,"Computer Hardware & Software"
23,"Computer Peripherals"
24,"Information Storage"
31,"Drugs"
32,"Surgery & Medical Instruments"
33,"Biotechnology"
39,"Miscellaneous-Drugs & Medical"
41,"Electrical Devices"
42,"Electrical Lighting"
43,"Measuring & Testing"
51,"Materials Processing"
44,"Nuclear & X-rays"
45,"Power Systems"
46,"Semiconductor Devices"
49,"Miscellaneous-Elec. & Handling"
52,"Metal Working"
53,"Motors, Engines & Parts"
54,"Optics"
55,"Transportation"
59,"Miscellaneous-Mechanical"
61,"Agriculture, Husbandry, Food"
62,"Amusement Devices"
63,"Apparel & Textile"
64,"Earth Working & Wells"
65,"Furniture, House Fixtures"
66,"Heating"
67,"Pipes & Joints"
68,"Receptacles"
69,"Miscellaneous:Others"
