0,Chemistry,hmdi,endcappers,disecondary,aralkylated,trisphenol,abmonomer,bisphthalic,monofunctionalized,alkanepolyol,monoglycidyl,phosgenating,diepoxy,diaminobenzoxazole,dihalophosphate,difluoroaromatic,diaminodiols,hydroxyaliphatic,thiabicyclononane,monols,oxyalkylating,diphenylcarbonate,dicarboxyphenylpropane,phenylethynylbenzophenone,dimethylbiphenyl,hoocrcooh,monohydroxyl,dapbi,sulfonyldiphenol,polyesterdiol,dicarboxyphenoxyphenyl,diaminosiloxane,dialkylaryl,multihydric,dihydroxyaryl,polyquinoxalines,dicarboxyphenoxyphenylpropane,isophoronediamine,dialcohol,cyclicsiloxane,dicyclohexyl,polyoxypropylenediamine,polydiol,monoepoxy,isopropylidenediphenol,bisalphaalpha,monophenol,spiroglycol,phenylethynylphthalic,diisothiocyanate,ketimines,polyaliphatic,transesterify,tetramethylbenzophenone,cdiol,nitrophthalonitrile,bisarylcarbonate,coreacting,phenylisocyanate,polycarbamate,distannoxane,oligoamide,polyetheramines,aminopropylated,monosecondary,dialkylurea,glycidylated,diisopropylethylamine,dodecanediol,tetraglycidyl,diisocyanatohexane,bisethyl,diepoxides,anil,aminoethylamine,etherglycol
1,"Pharmaceuticals, anticancer",apobnox,glyceollins,glycosylceramide,galactosylceramide,dacarbazine,dasatinib,antiapoptotic,submicromolar,apocynin,metabolised,tryptanthrin,deriviatives,oxadiazolidinedione,baicalein,dthg,isoflavanone,baicalin,luteolin,trichomonads,achei,antiinflamatory,prostratin,acecs,glycomimetic,methyluracil,stilbenoid,lenalidomide,securolide,anologs,repaglinide,azacitidine,arachadonic,terbinafine,mahanine,phytotherapic,xxvi,benzodiazepinone,batimastat,xxv,ambrisentan,hydroxylsulfonamide,valganciclovir,pseudodipeptides,abacavir,antiarteriosclerotic,caix,capecitabine,pterostilbene,cidofovir,dithiazolidine,antivascular,nefopam,anisamide,manzamines,dabigatran,vitamine,mitoquinone,hepatoprotection,fingolimod,hydroxybenzylidene,equipotent,narciclasine,indinavir,hantagonists,darunavir,hemifumarate,phamaceutically,diarrhoeal,dobutamine,trolox,fibromodulin,neurosteroids,hypocholesterolemizing,tlck,difenoconazole
2,Finance,biographies,interviews,monetizing,recommenders,advocate,reputational,accreditation,crowdsourcing,geographies,motivations,tutorials,cqa,marketers,discuss,incentivized,stakeholder,socially,interviewee,questionnaires,blogs,sieas,chatbot,opinions,adgroups,critique,econtract,macroeconomic,wikis,assessors,findability,submittal,autocomplete,nominations,initiatives,socioeconomic,consolidators,blurbs,critics,scholarly,reviewers,forums,sentiments,advisors,rsum,politically,clickstream,microgenres,newsfeed,consultants,publicize,kpis,finances,policyholders,talents,guesstimates,jargon,quizzes,raters,academic,dppsp,matchmaking,agendas,axiomatic,opted,litigation,,,,,,,,,,
3,Statistics,gsubk,tausubi,vertlinesup,tsubphi,vertlines,supe,deltasubn,rsubk,wsubk,msubl,phisubj,boltzmanns,ltnlt,bsubj,omegasubi,esubx,zsube,thetasubn,xsubk,sigmasubi,phisubo,phisubi,deltaq,qsubk,xsube,fxaxbxc,zsubm,xsupk,dsubk,ltoreqnltoreqn,deltadelta,psisub,bsubk,xasub,ysube,zsubk,xsupn,esubm,dsubu,axb,ltk,bsubh,ltoreqkltoreqn,zsubn,nusubi,swhere,csubj,khsubz,deltasubi,xsubq,alphasubi,multidotcos,lsubg,betasubn,axsup,ltoreqnsub,omegasubn,hsubl,isubi,noteq,deltasuba,costheta,gsubj,supt,qsubt,usubk,thetapi,ylt,gsubc,psubq,ysubk,zsubj,eigenfunctions,wsubmn,dsubj
4,Genetics,abcg,egghead,kifa,ubiquitinated,tankyrase,enho,cldn,tmsf,dnak,polyeptides,dnac,caspr,hprt,htert,ltrpc,mgat,sprouty,virb,plexin,klf,suvh,hydl,utrs,protooncogene,ataxin,gnaq,doubletime,hbmbu,herv,macp,sahh,resistin,axin,dsbc,mdab,huleap,heterologously,nrif,agfa,ptsg,zamp,villin,flj,rela,casm,hpxr,bradeion,klk,caip,calbindin,cyse,siva,irdbp,rtef,hntr,slca,leishmaniosis,tspyl,aquaporin,patatin,igfbps,radc,pcadm,preb,plhu,brachyury,csra,foxp,pmpi,granin,klotho,abh,betacap,crmp,tobamovirus
5,"Chemistry, preservatives",peroxydisulphate,cyanomethylthioacetylcephalosporins,alkalic,sulphites,naiosub,peroxysulfate,nitronate,dialkyldithiocarbamates,tetraorganoammonium,acetaldoxime,hydroxymethanesulfinate,permanganates,nacn,persulfuric,benzyltrimethyl,trifluoracetic,trinitromethane,thiosulphates,hypohalogenite,rhodanide,phosphotungstate,zrohsub,tetrahydrocarbylammonium,decomplexed,hydrosulphite,dihydrogenphosphate,dithionites,thionate,organosiliconates,heptamolybdate,pentyne,selenocyanate,monoethanol,basifying,dinitrite,sulphating,arsenious,gluconates,tetraborates,hexachloroplatinate,fluoroborates,hypophosphorus,biborate,metabisulphite,ninosubsub,preneutralized,phosphorite,hclo,methylmercaptoethylhydantoin,hydrocarbonate,nitrilotrisulfonate,monoethylamine,octylamine,polyvanadate,naphthenates,dithionate,deammoniation,haloalkylsilane,dilauryl,dialkylaminoalkylamines,bisulfates,cabonate,octylphenoxy,halogenomethane,ammoniating,dodecahydrate,dichloroisocyanuric,reextracting,hexulofuranosonate,silanolates,tetrathionate,dithallium,reprecipitating,peroxodisulfate,trithionate
6,"Electical, digital signal processing",upconverts,oqam,downconverts,norder,cpll,predistort,gfsk,synchrodyne,downconversion,upsample,qvsb,ifout,lineariser,mfbms,linearizers,rxin,ieus,lpfs,dbpsk,vlif,fqam,ftbpf,sfdr,tiadc,ctadc,thdn,equalises,laurent,qnt,qbs,interferer,ntf,dispreading,halfband,qdws,remodulated,bandlimited,saic,cpfsk,decimators,derotated,demodulater,baseband,bpfs,decorrelating,rfsubin,predistortor,ptic,loq,icmf,inphase,downsampler,correntropy,mpx,hubert,distorter,intermodulations,,,,,,,,,,,,,,,,,,
7,"Viruses, livestock infection",flaviviruses,fhv,parapoxvirus,rmva,bvdv,herpesviruses,marburg,ebola,pivs,parainfluenza,laryngotracheitis,vzv,pestiviruses,nipah,fipv,canarypox,brescia,eiav,mononegavirales,paramyxovirus,vacv,pandemic,measles,paramyxoviridae,dengue,hsars,lentivirus,csfv,hepatitus,fowlpox,chikungunya,myxoma,poxviruses,parvoviral,sindbis,pseudovirus,recombinants,woodchuck,jev,lcmv,polyenv,alphaviruses,leukosis,pseudorabies,newcastle,bvd,simian,gbv,hpiv,ipnv,influenza,ssrna,flaviviral,brsv,caev,bicv,tgev,wnv,bpiv,papilloma,veev,celo,langat,coronaviridae,encephalomyocarditis,nyvac,avipox,baav,lavsubmal,fulllength,parvovirus,norwalk,,,
8,"Plants, herbs, medicinal",watercress,horsetail,gotu,goldenseal,camellia,mimosa,oleuropein,guarana,rubusoside,campestanol,mannoheptulose,aronia,bilberry,nettle,chickweed,crataegus,juniper,oregano,diffusa,ashwagandha,orac,glycitin,pygeum,barbata,reishi,fennel,gingerol,ginger,proanthocyanidins,nucifera,matricaria,nattokinase,sophora,pueraria,phytochemicals,cepa,urtica,andrographis,thyme,notoginseng,calendula,anise,ginkgolic,sanctum,equisetum,basil,flavanoids,lycium,turmeric,tetrahydroxycurcumin,liquorice,fenugreek,guava,myrrh,phytonutrients,thunberg,curcuminoid,perilla,baicalensis,menthae,neutraceuticals,yarrow,comfrey,lamiaceae,curcuma,asteraceae,gingko,tumeric,acerola,valerian,linn,catmint,tinospora,carvacrol,
9,"Mechanical, movement",unimorph,vibrations,tonpilz,detf,excitedly,pistonic,counteroscillating,damps,piezoelements,oscillate,ava,gyrometer,langevin,mechanoelectrical,torsional,piezos,macroactuator,deflections,microgyroscope,inertias,microseisms,oscillatory,flexures,accelerometric,displacements,countermasses,undamped,haltere,gyroscope,piezoelectrical,microaccelerometers,gimbally,microspeaker,viscometers,nanopositioner,cmuts,micromechanically,microactuators,antinode,bimorph,magnetorestrictive,eigenfrequency,gyrosensor,vibrationally,fsubtest,microgyrometer,piezoelectic,foae,pendulosity,antiresonance,micromachined,piezolectric,inertial,tranducer,motional,pendulous,dampen,piezoacoustic,,,,,,,,,,,,,,,,,
